id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1277585482659106816,2020-06-29 12:51:30+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Nichola's math graph for the covid19 death rate is saying that the last 4 days showing not a fatality of the virus.… https://t.co/pwIaEA6Z8S,Nichola 's math graph covid19 death rate saying last days showing fatality virus,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668,en,0,0,wmaker47,,,,,Spam Hill
1277585487058874368,2020-06-29 12:51:31+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NuhaSerrac: #TurkeyInvadesKurdistan in the middle of a #covid19 pandemic.,middle pandemic,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,hazhuu99,,"TurkeyInvadesKurdistan, covid19",NuhaSerrac,,Kurdistan ❤️🤍💛🤍💚
1277585492121280512,2020-06-29 12:51:32+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_HenryBair_: A study on #COVID19 transmission patterns finds that the extent to which a population wears #masks is the single greatest…,A study transmission patterns finds extent population wears single greatest,"Sentiment(polarity=0.4642857142857143, subjectivity=0.6071428571428571)",0.4642857142857143,0.6071428571428571,en,0,0,RoseantT,,"COVID19, masks",_HenryBair_,,"Southern California, USA"
1277585495233617920,2020-06-29 12:51:33+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Utsava4: We said that they would kill people and blame it on #corona; that the numbers were fake. We have the proof.,We said would kill people blame numbers fake We proof,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,0,jenb327,,corona,Utsava4,,
1277585499041992706,2020-06-29 12:51:34+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @jkwessel: If you’re gunna use jersey barriers, this is how they should look ⤵️ https://t.co/LMd7yd9WPi",If youre gunna use jersey barriers look,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,hugparty,0.0,,jkwessel,,"Somerville, MA"
1277585503320236032,2020-06-29 12:51:35+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @BoedzJ: Yaser Shadid, 45-day old from the occupied West Bank town of Dura, is the youngest Palestinian to be infected with #COVID19 
Ge…",Yaser Shadid -day old occupied West Bank town Dura youngest Palestinian infected Ge,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2,en,0,0,Ex_Catho,,COVID19,BoedzJ,,derrière la sacristie
1277585507598217219,2020-06-29 12:51:36+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",#USA #UK #Brazil = 45% global #covid19 deaths.,global deaths,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,MediaActive,,"USA, UK, Brazil, covid19",,,Melbourne
1277585511868055552,2020-06-29 12:51:37+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @tamilnadugalata: 3940 new cases of #Coronavirus reported in #TamilNadu today!!

1992/ 3940 cases are from #Chennai. 

31,505  persons t…",new cases reported today 1992/ cases persons,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545,en,0,0,syed081094,,"Coronavirus, TamilNadu, Chennai",tamilnadugalata,,"Chennai, India"
1277585515831685120,2020-06-29 12:51:38+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SohailA90361092: #WakeupHRDpostponeNEETjee @DG_NTA @HRDMinistry atleast give some clarification abt whatever u will conduct exam Or  no…,atleast give clarification abt whatever u conduct exam Or,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Amitkum89976948,,WakeupHRDpostponeNEETjee,"SohailA90361092, DG_NTA, HRDMinistry",,
1277585520885981185,2020-06-29 12:51:39+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Covid19TNUpdate: #TamilNadu | #COVID19 |  28 June

District Wise  Data...

#TNCoronaupdates https://t.co/DcH71chD2N",JuneDistrict Wise Data ...,"Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9,en,0,0,manivannanrvs,0.0,"TamilNadu, COVID19, TNCoronaupdates",Covid19TNUpdate,,"Chennai, India"
1277585526854311942,2020-06-29 12:51:40+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @DrEricDing: Dear @GileadSciences CEO: The NIH funded Remdesivir trial with 1000 people was paid by American taxpayers. Shouldn’t the Am…,Dear CEO The NIH funded Remdesivir trial people paid American taxpayers Shouldnt Am,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,angelnphx,,,"DrEricDing, GileadSciences",,
1277585530264395776,2020-06-29 12:51:41+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Hum_Nabimanya: Accessing contraceptives shouldn't be a form of judgement. Stay safe by taking charge of your life even in these #COVID1…,Accessing contraceptives n't form judgement Stay safe taking charge life even,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,LordeRodo,,,Hum_Nabimanya,,"Mukono, Uganda"
1277585533389201413,2020-06-29 12:51:42+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GlitchUK_: Calling all women and non-binary people. We must find out how #Covid19 is affecting online usage and online abuse. Complete…,Calling women non-binary people We must find affecting online usage online abuse Complete,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,0,0,Hayle_Davies,,Covid19,GlitchUK_,, 
1277585538589978625,2020-06-29 12:51:43+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @catielila: A public health announcement from #Taiwan's heroic Minister of Health Chen Shih-chung: ""Before a vaccine is developed, face…",A public health announcement 's heroic Minister Health Chen Shih-chung `` Before vaccine developed face,"Sentiment(polarity=0.26666666666666666, subjectivity=0.4222222222222222)",0.26666666666666666,0.4222222222222222,en,0,0,CatherineShu,,Taiwan,catielila,,"Taipei City, Taiwan"
1277585541073039364,2020-06-29 12:51:44+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SreyashiDey: #WestBengal CM @MamataOfficial: to honour frontline workers fighting against #Covid19, on Wednesday I declare state holida…",CM honour frontline workers fighting Wednesday I declare state holida,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ARKGHOSH,,"WestBengal, Covid19","SreyashiDey, MamataOfficial",,
1277585546643222528,2020-06-29 12:51:45+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @BallouxFrancois: Interesting preprint on T-cell immunity in a large number of  #COVID19 patients and controls. T-cell response to #SARS…,Interesting preprint T-cell immunity large number patients controls T-cell response,"Sentiment(polarity=0.35714285714285715, subjectivity=0.4642857142857143)",0.35714285714285715,0.4642857142857143,en,0,0,bonnie54_uk,,COVID19,BallouxFrancois,,
1277585549990203393,2020-06-29 12:51:46+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Dr_LoucaMai: #InclusiveResearch for info https://t.co/SOemDt0CnM,info,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ShobaDawson,0.0,InclusiveResearch,Dr_LoucaMai,,"Bristol, England"
1277585553580384257,2020-06-29 12:51:47+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Covid19: this crisis has been a reminder of all the ways we can connect with like-minded individuals around the wor… https://t.co/tPnImgTNBm,Covid19 crisis reminder ways connect like-minded individuals around wor,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Jea_Chan,,,,,"Manila, Ph"
1277585558420762624,2020-06-29 12:51:48+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GovCanHealth: The #GoC has requirements for people entering Canada:
✔ Wear a mask or face covering while in transit to your place of is…",The requirements people entering Canada Wear mask face covering transit place,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,moeosman7,,GoC,GovCanHealth,,
1277585562178813952,2020-06-29 12:51:49+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DennisLeMaster7: .@CASA_Army Joe Bray assisted CSM Charpentier and I in getting #MEDCoE Soldiers fired up about the #ArmyHiringDays 30…,Joe Bray assisted CSM Charpentier I getting Soldiers fired,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ArmyMedHistory,,"MEDCoE, ArmyHiringDays","DennisLeMaster7, CASA_Army",,"Fort Sam Houston, TX"
1277585566138277891,2020-06-29 12:51:50+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @allafrica: Liberia Extends COVID-19 State of Emergency for Another 30 Days https://t.co/UrT7PB6NeZ #Liberia #COVID19 #CoronaVirus https…,Liberia Extends COVID-19 State Emergency Another Days https,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,bmariaam,0.0,"Liberia, COVID19, CoronaVirus",allafrica,,Dublin
1277585570479386628,2020-06-29 12:51:51+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Laurie_Garrett: The US #COVID19 crisis is hideous, especially when compared to the rest of the world.
We are failing.
And we imperil no…",The US crisis hideous especially compared rest world.We failing.And imperil,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,0,dianapocalypse,,COVID19,Laurie_Garrett,,"North Carolina, USA"
1277585574623432704,2020-06-29 12:51:52+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @PISDI0331: Covid19 can travel 6' but not 6'1 or greater, it can live on all surfaces except anything that comes in the mail from Amazon…",Covid19 travel 1 greater live surfaces except anything comes mail Amazon,"Sentiment(polarity=0.3181818181818182, subjectivity=0.5)",0.3181818181818182,0.5,en,0,0,SapperIron,,,PISDI0331,,
1277585578670919680,2020-06-29 12:51:53+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DJBoyce3 Hi @DJBoyce3, transit passengers are allowed at Taiwan Taoyuan International Airport starting June 25 wit… https://t.co/rmzd9wwlUP",Hi transit passengers allowed Taiwan Taoyuan International Airport starting June wit,"Sentiment(polarity=0.0, subjectivity=0.05)",0.0,0.05,en,0,0,ChinaAirlinesPH,0.0,,"DJBoyce3, DJBoyce3",,Unit 1 G/F 1322 Golden Empire
